N	\t	s/S
320	\t	0.029954
321	\t	0.029782
322	\t	0.029647
323	\t	0.029579
324	\t	0.029462
325	\t	0.029329
326	\t	0.029181
327	\t	0.029148
328	\t	0.029018
329	\t	0.028921
330	\t	0.028905
331	\t	0.028777
332	\t	0.028745
333	\t	0.028682
334	\t	0.028666
335	\t	0.028587
336	\t	0.028509
337	\t	0.028478
338	\t	0.028322
339	\t	0.028292
340	\t	0.028184
341	\t	0.028032
342	\t	0.027987
343	\t	0.027882
344	\t	0.027793
345	\t	0.027719
346	\t	0.027616
347	\t	0.027601
348	\t	0.027572
349	\t	0.028511
350	\t	0.037915
351	\t	0.057652
352	\t	0.065796
353	\t	0.068786
354	\t	0.076724
355	\t	0.084238
356	\t	0.089129
357	\t	0.098512
358	\t	0.104188
359	\t	0.111394
360	\t	0.120567
361	\t	0.125504
362	\t	0.132294
363	\t	0.143144
364	\t	0.152000
365	\t	0.155611
366	\t	0.164097
367	\t	0.176587
368	\t	0.178713
369	\t	0.198519
370	\t	0.203850
371	\t	0.217241
372	\t	0.221566
373	\t	0.226471
374	\t	0.230167
375	\t	0.231898
376	\t	0.235495
377	\t	0.237840
378	\t	0.245402
379	\t	0.247463
380	\t	0.258189
381	\t	0.273861
382	\t	0.281146
383	\t	0.291369
384	\t	0.302469
385	\t	0.308385
386	\t	0.315094
387	\t	0.325165
388	\t	0.329887
389	\t	0.335363
390	\t	0.340803
391	\t	0.346387
392	\t	0.355153
393	\t	0.361535
394	\t	0.376324
395	\t	0.380055
396	\t	0.394495
397	\t	0.396062
398	\t	0.403469
399	\t	0.407188
400	\t	0.410698
401	\t	0.422955
402	\t	0.426378
403	\t	0.442844
404	\t	0.452542
405	\t	0.456629
406	\t	0.462640
407	\t	0.464764
408	\t	0.473731
409	\t	0.479324
410	\t	0.487816
411	\t	0.501770
412	\t	0.511689
413	\t	0.514764
414	\t	0.518062
415	\t	0.523998
416	\t	0.525506
417	\t	0.549956
418	\t	0.557549
419	\t	0.561327
420	\t	0.566144
421	\t	0.581304
422	\t	0.588566
423	\t	0.595084
424	\t	0.602410
425	\t	0.607557
426	\t	0.615945
427	\t	0.618803
428	\t	0.638688
429	\t	0.647660
430	\t	0.657604
431	\t	0.662997
432	\t	0.665542
433	\t	0.673693
434	\t	0.676755
435	\t	0.680101
436	\t	0.684541
437	\t	0.687526
438	\t	0.698380
439	\t	0.700331
440	\t	0.709331
441	\t	0.715226
442	\t	0.717917
443	\t	0.723178
444	\t	0.723926
445	\t	0.732325
446	\t	0.734827
447	\t	0.745218
448	\t	0.747664
449	\t	0.762753
450	\t	0.767273
451	\t	0.774727
452	\t	0.783099
453	\t	0.786373
454	\t	0.788254
455	\t	0.793543
456	\t	0.797373
457	\t	0.799285
458	\t	0.800318
459	\t	0.804666
460	\t	0.809374
461	\t	0.815324
462	\t	0.818645
463	\t	0.825832
464	\t	0.828850
465	\t	0.835148
466	\t	0.838885
467	\t	0.842796
468	\t	0.843690
469	\t	0.845591
470	\t	0.853349
471	\t	0.853958
472	\t	0.872553
473	\t	0.877206
474	\t	0.882645
475	\t	0.884601
476	\t	0.886641
477	\t	0.889269
478	\t	0.893115
479	\t	0.902615
480	\t	0.904924
481	\t	0.906924
482	\t	0.914749
483	\t	0.922151
484	\t	0.928786
485	\t	0.935773
486	\t	0.938897
487	\t	0.945394
488	\t	0.958102
489	\t	0.963757
490	\t	0.967195
491	\t	0.968050
492	\t	0.973289
493	\t	0.976608
494	\t	0.978878
495	\t	0.979258
496	\t	0.982959
497	\t	0.988052
498	\t	0.994220
499	\t	0.995310
500	\t	1.000000
